Object ID,Type of Sample,Sample ID,Lab/Museum/FS # if diff than Sample ID,Modern/Arch,Site Name/Area,Site Number,Provenience,Description of Sample,Date,UTM,Easting,Northing,Longitude,Latitude,Elevation,Elevation of Home Range,Depth,Mid Depth,Date of Collection,Source/Citation,Notes ,Links to Other Projects/Repositories,Weight ,Ag (ug/g),Ba (ug/g),Ca (ug/g),Ce (ug/g),Cr (ug/g),Cs (ug/g),Cu (ug/g),La (ug/g),Li (ug/g),Mn (ug/g),Mo (ug/g),Nd (ug/g),Rb (ug/g),Sr (ug/g),Ti (ug/g),U (ug/g),V (ug/g),Y (ug/g),Zn (ug/g)
,Soils,371a/1/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1128,0.916,530,12200,20.209,11.629,1.911,132.563,16.116,20.24,307.792,1.01,11.066,51.69,210.303,1640,1.26,34.197,12.08,73.829
,Soils,372a/2/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1102,0.769,560,18700,21.605,13.75,2.543,12.651,15.226,20.046,256.037,0.54,11.854,73.54,204.566,1740,1.294,43.103,11.912,36.397
,Soils,375/3/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1034,1.065,650,22200,20.197,13.886,1.83,10.856,14.492,16.091,218.104,0.701,11.231,78.486,198.318,1420,1.479,39.588,9.449,28.767
,Soils,369a/7/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1092,0.767,560,12600,21.976,12.321,1.81,9.693,15.178,17.578,243.851,0.755,11.216,68.494,186.212,1610,1.24,34.217,11.597,26.064
,Soils,052/8/LL93,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1013,0.972,680,13600,19.64,15.077,2.115,10.168,14.204,18.429,235.612,0.493,11.273,70.225,229.032,1350,1.749,33.663,10.81,31.944
,Soils,053/9/LL93,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1013,0.695,600,13600,20.826,12.667,1.954,10.557,14.031,16.112,223.503,0.493,10.332,75.658,179.357,1370,1.342,28.254,9.381,28.75
,Soils,054/10/LL93,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0996,0.586,620,13800,21.726,11.832,1.94,9.558,13.535,15.355,202.527,0.434,11.097,68.23,192.544,1330,1.086,32.986,9.535,25.95
,Soils,056/13/LL93,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.887,640,13800,23.539,13.396,2.241,12.139,13.668,17.826,287.603,0.488,10.404,81.408,203.753,1510,1.397,46.246,10.026,31.033
,Soils,057/14/LL93,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.787,620,13700,22.803,12.169,1.968,10.819,14.62,15.505,258.56,0.363,10.33,80.65,177.595,1330,1.132,30.178,10.102,23.632
,Soils,055/45/LL93,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1007,0.689,630,13700,20.21,12.115,2.052,10.687,13.755,16.023,208.802,0.28,11.251,83.716,201.873,1270,1.226,32.98,9.982,26.329
,Soils,373/16/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,1.211,600,13700,25.614,15.913,2.341,12.54,16.422,17.038,251.977,0.232,12.716,76.529,209.692,1370,1.396,36.001,11.539,30.413
,Soils,374/19/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0998,0.92,630,13800,21.464,12.156,1.823,8.688,15.305,14.84,211.369,0.421,11.156,69.847,186.351,1350,1.396,27.323,9.823,23.41
,Soils,376/20/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0997,0.662,630,13800,18.605,11.09,1.782,9.746,13.377,14.344,199.65,0.519,10.274,75.309,197.597,1130,1.257,25.639,9.067,24.722
,Soils,377/22/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1,0.861,600,13800,23.585,13.661,2.434,11.075,15.845,17.303,220.151,0.571,12.198,79.217,213.026,1420,1.406,40.2,10.716,29.681
,Soils,368a/25/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.852,600,13800,26.478,10.97,1.788,8.738,14.895,13.889,216.361,0.439,10.109,90.411,198.554,1380,1.136,30.825,8.915,18.408
,Soils,370a/26/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1005,0.781,660,15400,33.044,14.997,1.707,10.55,18.965,15.137,252.51,0.272,12.05,96.934,203.706,1510,1.14,43.162,11.844,25.785
,Soils,371b/27/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.809,610,13700,28.095,147.017,2.032,15.822,14.847,15.479,239.297,10.646,10.135,87.007,219.375,1330,1.209,31.146,8.735,25.72
,Soils,372b/28/LL92,,Modern,Los Lunas,,,,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1003,0.627,620,13700,29.732,121.871,2.043,22.22,16.478,15.188,228.446,7.136,10.957,94.012,195.708,1170,1.225,27.958,9.292,30.053
,,,,,,,,,,,,,,,,,,,,Ericson et al 1991 (NOT ADDED YET),,,,,,,,,,,,,,,,,,,,,,
